name,age,income,profession,date,location,new_cases,total_cases,new_death,total_death,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccines,new_test,total_test,test_per_case,positive_rate,negative_rate,hospitalised_patients,icu_patients,population,median_age,age > 65,people_with_past_diseases,immunity_strength
Alex Johnson,33,21973,Sales Executive,2020-01-01,France,483,503,12,9,401731,147957,86237,489045,6272,20861,18.8,0.0971,0.8081,312,55,1002833937,42.3,15.32,3.62,89.51
Emily Davis,66,1310,Business Analyst,2020-01-02,Russia,506,983,10,25,89858,114681,268913,78650,45134,83578,31.85,0.048,0.9842,710,497,750876519,30.8,24.88,8.08,51.61
David Taylor,49,77296,Engineer,2020-01-03,Italy,538,1491,8,38,64800,310970,156955,488084,25265,107058,34.02,0.1641,0.9341,1365,628,612289374,44.2,14.81,18.57,53.7
Sarah Williams,61,18988,Doctor,2020-01-04,UK,519,1971,7,45,466356,60597,62340,20615,49192,126695,11.32,0.0399,0.8638,2969,179,305674888,28.4,21.72,8.2,43.79
John Clark,36,23043,Engineer,2020-01-05,France,458,2471,7,57,110364,102375,80199,720972,29668,172316,42.01,0.05,0.828,4967,155,410558538,36.0,21.27,2.15,97.29
David Jones,20,54134,Scientist,2020-01-06,Australia,467,2960,7,65,488170,252077,105222,791614,82560,233620,15.21,0.0795,0.8272,2244,877,231879568,42.6,6.43,8.94,47.13
David Johnson,77,91480,Software Developer,2020-01-07,Brazil,536,3423,10,75,274531,284228,234931,542915,98435,282051,10.15,0.1773,0.8319,2122,429,945946912,28.4,6.74,13.71,47.32
Alex Clark,52,56326,Police Officer,2020-01-08,France,482,3951,11,92,197232,356591,167234,324080,70283,371972,20.91,0.035,0.8087,2069,981,526552957,39.9,18.2,12.28,96.07
Jane Brown,46,90937,Police Officer,2020-01-09,Italy,477,4452,7,107,462457,9383,34434,704732,10297,429144,36.8,0.0332,0.9714,2790,699,1307034378,45.0,10.18,6.3,93.06
Chris Smith,87,18381,Engineer,2020-01-10,UK,489,4955,9,117,214639,97313,285246,389956,65005,455581,48.31,0.1039,0.9027,865,582,1298580262,39.9,18.15,14.07,47.42
Laura Johnson,62,34264,Nurse,2020-01-11,Russia,481,5468,8,131,142871,301505,22536,350019,59434,464730,40.65,0.0625,0.933,4827,945,557784519,37.8,7.89,12.98,90.53
John Brown,44,23069,Engineer,2020-01-12,Italy,492,5978,12,138,129095,85294,209963,626070,65749,480401,47.08,0.1181,0.9573,3468,12,1221177458,46.0,12.94,4.27,47.49
Chris Davis,86,43964,Police Officer,2020-01-13,Italy,479,6514,11,145,45548,66331,199842,81700,2607,504520,7.89,0.0958,0.9504,4147,603,1069018744,49.6,7.05,4.08,35.91
John Smith,52,67734,Software Developer,2020-01-14,Brazil,507,7009,10,151,437111,100057,105639,28109,60183,551637,4.49,0.0926,0.9677,3767,272,93727939,29.5,10.64,11.4,87.43
Sarah Miller,36,6910,Doctor,2020-01-15,Germany,494,7515,14,166,100450,156601,51775,43758,87994,568916,28.33,0.0313,0.9838,4784,808,1380937699,42.3,6.77,13.53,84.01
Laura Smith,34,72020,Engineer,2020-01-16,UK,539,8007,15,178,115669,194646,32147,763987,57305,638751,15.22,0.0368,0.8834,3679,330,597478231,27.0,24.41,19.28,50.63
Alex Jones,52,47165,Business Analyst,2020-01-17,USA,499,8538,6,191,352315,224699,155731,557605,28973,644554,41.57,0.166,0.9806,2803,616,296367464,26.1,12.9,9.02,36.31
Jane Brown,47,67112,Nurse,2020-01-18,Italy,506,9038,5,209,443595,388829,241879,220073,24117,728451,33.93,0.1783,0.9374,3417,585,1255584785,32.0,23.02,15.53,44.45
Emily Garcia,65,33821,Police Officer,2020-01-19,Germany,537,9558,6,216,317558,101917,105663,533909,82986,790256,48.57,0.0546,0.8134,4735,255,210357536,49.3,24.42,3.21,83.97
Alex Jones,74,45392,Engineer,2020-01-20,USA,505,10059,12,228,83071,298076,214168,45622,82071,809457,13.48,0.0316,0.9295,251,598,1020065517,38.8,23.19,17.9,97.53
